2026-06-09T10:53:21.325136355Z 2026-06-09 10:53:21,324 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:53:25.533741613Z 2026-06-09 10:53:25,533 - werkzeug - INFO - 127.0.0.1 - - [09/Jun/2026 10:53:25] "HEAD / HTTP/1.1" 200 -
2026-06-09T10:53:31.486758193Z 2026-06-09 10:53:31,486 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:53:40.938848388Z 2026-06-09 10:53:40,938 - werkzeug - INFO - 127.0.0.1 - - [09/Jun/2026 10:53:40] "GET / HTTP/1.1" 200 -
2026-06-09T10:53:41.653142673Z 2026-06-09 10:53:41,652 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:53:51.817744114Z 2026-06-09 10:53:51,817 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:54:01.990277245Z 2026-06-09 10:54:01,990 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:54:03.685994753Z 2026-06-09 10:54:03,685 - werkzeug - INFO - 127.0.0.1 - - [09/Jun/2026 10:54:03] "GET / HTTP/1.1" 200 -
2026-06-09T10:54:12.154716842Z 2026-06-09 10:54:12,154 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:54:22.320612488Z 2026-06-09 10:54:22,320 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
2026-06-09T10:54:32.483707757Z 2026-06-09 10:54:32,483 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8967396510:AAHDNkd1QtiHAV31BHQlvb3um6-dU3Osjb8/getUpdates "HTTP/1.1 200 OK"
